id_num,byu_id,byu_email,first_name,middle_names,last_name,preferred_name,section,backup_email,phone_number
203731111,kimberly66,alicia.graves@byu.edu,Alicia,Matthew,Graves,Janet,Piccolo,howardjo@hotmail.com,001-241-339-5
903530905,dianagriffin,ronald.freeman@byu.edu,Ronald,Misty,Freeman,Toni,Piccolo,hbates@johnson.com,001-382-404-3
993636647,jody57,tiffany.brandt@byu.edu,Tiffany,Joshua,Brandt,Michael,Clarinet,fosterbrenda@hotmail.com,001-436-678-4
34388705,tracey04,danielle.martinez@byu.edu,Danielle,Jenna,Martinez,Christopher,Tenor Sax,llong@romero-pacheco.com,055-837-3252x
939988860,robert94,susan.mosley@byu.edu,Susan,Dylan,Mosley,Deborah,French Horn,hansenjennifer@daniels-turner.info,388.486.6576x
163778950,jon47,kurt.wilson@byu.edu,Kurt,Susan,Wilson,Elizabeth,Clarinet,jdavis@garcia.biz,+1-815-793-63
802887803,reneefoster,frank.barnes@byu.edu,Frank,James,Barnes,Angela,Trombone,jacobsonmatthew@wright.info,(064)110-8285
293913044,lyoung,lauren.lewis@byu.edu,Lauren,Nicolas,Lewis,Andrew,Alto Sax,frobinson@bullock.org,(887)774-9595
543113908,matthewturner,aaron.fletcher@byu.edu,Aaron,Darren,Fletcher,Brandi,Trumpet,leerichard@gmail.com,001-618-873-7
22046756,oliviawiley,jason.wilson@byu.edu,Jason,Megan,Wilson,Theresa,Drumline,luissmith@yahoo.com,001-592-635-1
507577537,robinsondaniel,kevin.gomez@byu.edu,Kevin,Jennifer,Gomez,Cindy,Alto Sax,shermanjeremy@baker.com,001-345-773-8
382190589,chavezwendy,robin.smith@byu.edu,Robin,Blake,Smith,Nancy,Baritone,stacey66@hotmail.com,001-872-714-4
705743687,brookeestrada,james.lamb@byu.edu,James,Nicole,Lamb,Scott,French Horn,underwoodangelica@gmail.com,+1-985-710-33
711853445,brucemyers,eric.carter@byu.edu,Eric,Christina,Carter,John,Trumpet,timothymartinez@white.net,001-777-872-7
459079517,sross,patricia.snow@byu.edu,Patricia,Randy,Snow,Sarah,French Horn,austinmichael@campbell-freeman.com,980.404.1655
57798307,xbrown,jennifer.carter@byu.edu,Jennifer,Elizabeth,Carter,Brandon,Piccolo,nicholas01@hotmail.com,706-463-3295
606539990,jonesanna,rhonda.holloway@byu.edu,Rhonda,Diane,Holloway,Zachary,Color Guard,petersenerica@humphrey.com,(000)755-7316
158002053,vargasdavid,greg.ruiz@byu.edu,Greg,Luke,Ruiz,Joseph,Drumline,yblack@yahoo.com,152.842.8495x
548405501,benjaminallen,michelle.roberts@byu.edu,Michelle,James,Roberts,Richard,Piccolo,douglas26@yahoo.com,001-196-188-2
337036824,zknight,larry.landry@byu.edu,Larry,Michael,Landry,Victor,Trombone,elizabethbailey@yahoo.com,9740673832
52253185,bnguyen,kathleen.shannon@byu.edu,Kathleen,Sara,Shannon,Jonathan,Tenor Sax,michelle14@gmail.com,+1-181-850-36
86026136,georgejuan,samantha.woodward@byu.edu,Samantha,Linda,Woodward,Debbie,Drumline,martinezjordan@freeman.com,8252739739
446369927,edwardsemily,tamara.mcmillan@byu.edu,Tamara,Anthony,Mcmillan,Steve,Baritone,ngonzalez@hotmail.com,592-303-6011x
19706017,monicamoore,kristina.armstrong@byu.edu,Kristina,Danielle,Armstrong,Kurt,Drumline,carmensingh@contreras.com,936.754.2178x
11321867,heather17,jacqueline.cowan@byu.edu,Jacqueline,Lisa,Cowan,John,Drumline,jonesmitchell@wright-ferrell.info,+1-469-668-19
62758861,williamleach,tonya.smith@byu.edu,Tonya,Michael,Smith,Michael,Trumpet,johnoconnor@yahoo.com,001-234-706-7
938796227,gabriel77,sean.arnold@byu.edu,Sean,Ronald,Arnold,Benjamin,French Horn,tommyserrano@bennett.com,913-719-6401
151468528,daughertyhaley,kim.casey@byu.edu,Kim,Paula,Casey,Sherri,Alto Sax,mrivera@gonzalez-richardson.com,+1-050-777-26
822982522,andreanelson,dawn.perez@byu.edu,Dawn,Sharon,Perez,Maria,Baritone,danielmorrow@yahoo.com,(321)435-9161
87909094,ashley21,james.fields@byu.edu,James,Jeremy,Fields,Michael,Alto Sax,sara63@gmail.com,536.614.8176
